cleaned_comment,vaccine_view,about_doctor_mike,format_criticism,misinformation,emotion_personal_experience,sentiment,toxicity_level
the fact that these people believe they are on the same level of knowledge as a board certified doctor tells me how absurd our society has become,,,,,,negative,non-toxic
022,,,,,,neutral,non-toxic
i took sputnik v vaccine 3 times  and i never had any health problem,skeptic,,,,,neutral,mildly-toxic
the irony most refuse to see all vaccine injured are not anthrax to state that they are is only more telling of the finger pointer,skeptic,,,,,positive,mildly-toxic
ancestral intelligence real ai when do these people stop making word salads and realize it actually sounds funny,,,,,,positive,non-toxic
this format is not working instead of having the opponents rambling on for half the time and then being instantly voted out when the other side starts to argument against them just doesnt work all your doing now is giving the jumbo jumbo more time to spec out their insane theories and not giving any time to actually debut them change the timer so that there is only like two max three minutes for the initial counterargument and then the professional has all the time they need to answer that then change the person on the seat no need to vote anyone out,,,yes,,yes,negative,mildly-toxic
pseudo intellectuals vs a doctor,,,,,,neutral,non-toxic
the same people who dont want public health care are the same ones complaining about the free market and pharma reps,,,,,,positive,non-toxic
people dont understand the difference between the correlation  and causation and it shows,,,,,,neutral,non-toxic
doctor mike should be sent to prison for being this ignorant what a scuba pos,,neutral,,,,neutral,non-toxic
vaccines cause more illnesses  cup u literally get a super small part of the illness so your body can build its immune system around it,skeptic,,yes,,,positive,mildly-toxic
my mum got a reaction from the vaccine what a crazy argument what happened to imperial facts that young girl has a lot of trauma in her life what a suitcase,skeptic,,,,yes,negative,mildly-toxic
roots deadass just talking about race and culture,,,,,,neutral,non-toxic
women in the red is the crazy aunt who lives with cats and spends all her time in the internet,,,,,yes,negative,mildly-toxic
these people far too much time on the internet while this guy spends his life saving people while these moons actually think they are more useful,,,,,,positive,non-toxic
the doctor is a very religious person i admire his unconditional faith  in the vaccines and the pharma industry,skeptic,,,,,neutral,mildly-toxic
black with reads is far gone,,,,,,negative,non-toxic
imagine being a doctor and having to talk to these moons the patience it must take,,,,,,neutral,non-toxic
i  agree,,,,,,neutral,non-toxic
freedom of speech baby,,,,,,neutral,non-toxic
sadly they do look at all the mass deaths that have been happening in the last 4 years or the epidemic of autism in children,,,,yes,yes,negative,highly-toxic
 不幸屋の娘o6l   autism is not caused by vaccines im guessing you didnt fact check anything or even saw the correction about the vaccines cause autism smh,anti-vaccine,,,yes,,neutral,highly-toxic
 不幸屋の娘o6l did you not see what mike said about it he pointed up how theres multiple debuts theres many studies evidentially debunking,,neutral,,,,positive,non-toxic
they arent moons theyre the sane people here youre either a bot or live under a rock,,,,,,positive,non-toxic
i just want people to realise this is supposed to be a middle ground,,,,,,neutral,non-toxic
the hiv doesnt cause aids lady did not come for a discussion my lord thank you for not having me to live and listen to someone like this,,,,yes,,positive,highly-toxic
952 the vaccine ,skeptic,,,,,neutral,mildly-toxic
telling a doctor that hiv does not actually cause aids is wild actually it might be the widest thing ive ever heard,,,,,,positive,non-toxic
the dude in the blue shirt and the red haired lady omg the things they said had me shook,,,,,,neutral,non-toxic
12958   imagine being so miseducated that that peopleloving dude had to participate on the successful attempt to censor dr mike by using those flags with bad faith ,,neutral,yes,,,positive,mildly-toxic
who remembers the sideman meme where his laying down on the hospital bed this comment gave me aids  4050,,,,,,negative,non-toxic
this was a hard watch i cant believe people live like this,,,,,,negative,non-toxic
the problem with vaccines is that is no real possible comparison on our modern world since almost everybody in the west is vacated there is no way to tell how it would be without vaccines there can only be speculation or arguments based on the times in human history or other places in the world that in no way are comparable to our contemporary one,skeptic,,,,,positive,mildly-toxic
dont act like you are a victim,,,,,,negative,non-toxic
if he cared about his mom he would have done this differently,,,,,,neutral,non-toxic
hes a terrible son,,,,,,strongly_negative,non-toxic
bunch of idiots dont know how facts work,,,,,,strongly_negative,non-toxic
i love doctor mike extremely patient respectful breaks it down in understandable ways being humble and gentle can be the only way to get through to people at times,,positive,,,,positive,non-toxic
my follow up question should be why am i such a dumbarse,,,,,,neutral,non-toxic
religion is a pest,,,,,,neutral,non-toxic
 walks up to a doctor  did you know,,,,,,neutral,non-toxic
love the head shake in the background at 2309,,,,,,positive,non-toxic
doctor mike is too polite we need house in real life,,neutral,,,,positive,non-toxic
its insane to me about how this whole format is just let me get my point across screw everyone else here not even 1 second that the first lady is up she has ¼ the votes needed to be voted out they should implement at the very least a delay for voting to maximize the interaction instead of making it be a thing where they get voted out as soon as they get up there,,,yes,,yes,negative,mildly-toxic
youre a bot everybody hates him now he may seem nice but hes a criminal,,,,,,positive,non-toxic
 不幸屋の娘o6l  your the bot i see you commenting all over the place seau,,,,,,neutral,non-toxic
 deeznutsff4zn  they just want attention lol,,,,,,positive,non-toxic
im halfway through and just please let other people talk its the same 4 people going up and mapping,,,,,,negative,non-toxic
this video pissed me off hiv doesnt cause aids are you okay holy we are so screwed,,,,yes,yes,positive,highly-toxic
its so uncomfortable to watch doctor mike is calm and professional and clearly knowledgeable all the participants once it reaches a point of actual factconversation and not emotional as the participants are raise the flags to just get their rant going having a mature conversation with people who clearly only want to range their point across rather than being open minded about what information they are getting wow what a waste never discuss with idiots they drag you to their level and beat you with experience is what comes to mind here  this format is just terrible kudos to dr mike to have this patience,,positive,yes,,,negative,mildly-toxic
dr mike gets paid  to lie,,negative,,,,neutral,mildly-toxic
dr mike is soon sole i cant focus,,neutral,,,,neutral,non-toxic
dr mike is a still pos  the cov1d vaccine is poison,skeptic,neutral,,,,neutral,mildly-toxic
damn doctor mike has aged 10 years since he fascinated,,neutral,,,,negative,non-toxic
this episode just makes me hate antivaxxers  theres no discussion ,skeptic,,,,,strongly_negative,mildly-toxic
in the prize c19 trial there were more deaths in the vaccine group than the placebo group 22000 doses and not 1 life was saved extra people died,anti-vaccine,,,,,positive,highly-toxic
youre not fact checking at all its just a money generating advertising show,,,,,,neutral,non-toxic
1900 doctor mike didnt even need to be there the fact checkers put in work,,neutral,,,,neutral,non-toxic
people need to start researching and educating themselves about autism cup wtf,,,,yes,,strongly_negative,highly-toxic
you should know about these patents since your offering these medicines no excuses,,,,,,neutral,non-toxic
mike touched for dr face dont believe him,,negative,,,,neutral,mildly-toxic
ive been barefoot for the last 15 years ,,,,,,neutral,non-toxic
there are plenty of doctors and scientists who would have debated the costbenefit analyses for different cohorts  immunization tech  perhaps most relevant to the mra tech faithful would be robert malone he is the first scientist to theorized and demonstrate deliverance of mra using lipid nanoparticles,,,yes,,,positive,mildly-toxic
there shouldnt be any religious excuse to back out of a vaccine not going to be put at risk because of someone delusion,skeptic,,,,,negative,mildly-toxic
these people are so weird nursing a child to 7 wtf,,,,,,strongly_negative,non-toxic
this doctor possesses a level of calm i will never come close to approaching,,,,,,positive,non-toxic
these people are all idiots only the cop with the gate presented a logically formulated argument,,,,,,negative,non-toxic
probably cause he got fascinated more then 10 years ago,,,,,,positive,non-toxic
he didnt hes neither a fool nor a suicidal person he only promotes this poison to others,,,,,,neutral,non-toxic
this something is very off about this whole channel and what its trying to accomplish,,,,,,positive,non-toxic
and the ladies reaction  lvaro,,,,,,neutral,non-toxic
just have doctor mike talk to rfk jr directly  or someone well versed like del bigten,,neutral,,,,positive,non-toxic
mfa this was not a debate also the red haired chick in the all denim outfit is hilarious,,,yes,,,positive,mildly-toxic
the amount of uneducated viewpoints some of the people had truly shocked me i applaud the amount of patience the doc had as some of the people became repetitive on their baseless arguments as the major flaws those arguments had became apparent mid conversation is truly remarkable of course there also were people who were open for an actual conversation and a readiness to look at the whole situation from another angle which just shows that there are victims of misinformation being in a echo chamber full of baseless statements its very sad seeing these people being so locked into their view that they lose their ability to critically think about the topic of course there are also faults with the healthcare system and money plays a key role as to why those problems exist in the first place nonetheless the fact remains excluding everything around vaccination the principal behind vaccination is and has been scientifically proven to be effective since the beginning of mankind as it in most cases merely simulated an infection with the the real agent that people cant get behind the simple logic of a vaccination is what fighters me the most,skeptic,,yes,,yes,positive,mildly-toxic
1120 he implies that one way of preventing illness is connecting with nature but all the illnesses that vaccines are protecting people against are derived from nature although nature is beautiful and in some ways wonderful and magnificent mother nature is still truly hellbent on destroying humans otherwise vaccines wouldnt need to exist in the first place,pro-vaccine,,,,,positive,non-toxic
,,,,,,neutral,non-toxic
you cant argue with facts with people who are not willing to deal in facts dr mike is so patient with these people everyone should be required to take an iq test prior to being allowed on this show ,,positive,,,,negative,non-toxic
this wasnt a debate the doctor was fighting with the american educational system,,,yes,,,positive,mildly-toxic
make is a worthless pianist still dont listen to it,,,,,,strongly_negative,non-toxic
as soon as dr mike starts making sense they all start to vote out the person to try shut him up,,neutral,yes,,,neutral,mildly-toxic
why are they cutting out parts of the conversation,,,,,,strongly_negative,non-toxic
i wonder if these people question their car mechanics lawyers accountants plumber electrician vac specialist carpenters etc etc when they need their services,,,,,,neutral,non-toxic
people not understanding that the rate that people have autism isnt increasing its the number of autism diagnoses that is increasing will never not be frustrating to me,,,,yes,,strongly_negative,highly-toxic
red headed lady needs help asap,,,,,,neutral,non-toxic
colonies brought smallpox yes definitely they infected native americans intentionallywith blankets of course but you know what eradicated smallpox in the 20th century   smallpox vaccine americans are pretty ignorant its pathetic,pro-vaccine,,,,,negative,non-toxic
the overlap of the 20 participants with sam sewers vid  the 20 anti vs 1 pro lgbt vid is hilarious but surprising ,,,,,,positive,non-toxic
doc is a hero for keeping a straight face with some ppl,,,,,,positive,non-toxic
all men and women know it is wrong to polluted a stream and yet the same people polluted their bloodstream with chemicals toxins preservatives bovine serumetcetc  vaccination from its origins has been a scam and their is more than enough evidence and information so one can conclude and deduce such,skeptic,,yes,,,neutral,mildly-toxic
even the voting pattern shows that these people are not there to listen they are there to just say things that they have read from social media and they dont care if they are true or false and they prefer social media over a person that has the knowledge this is the mental illness that is needed to be treated,,,,,,negative,non-toxic
we see the fact check but do they because theyre going to walk out of there still believing all those,,,,,,neutral,non-toxic
that first girls baby is going to get the beubonic please,,,,,,positive,non-toxic
ok i wont listen to make id listen to mike,,neutral,,,,positive,non-toxic
funny enough the first guy who brought the idea of violation to combat smallpox to the usa was a west african by the name of onesimus,,,,,,positive,non-toxic
a vaccine doesnt polluted your body it exposes it to a virus or illness so it can combat it in a simulated environment stimulating the body most vaccines work this way,pro-vaccine,,,,,positive,non-toxic
i would ask you to give an example of evidence but i already know you wont be able to find any,,,,,,positive,non-toxic
bunch of losers,,,,,,negative,non-toxic
hygiene practices increase tremendously along the same timeline as vaccines so the hygiene we take for granted in our plumbing infrastructure and water systems were not around centuries ago and thats also a contributing factor to the bacteria in the viruses we had that we dont have anymore,skeptic,,yes,,,positive,mildly-toxic
how about being a villain and a hero of a constructed crisis how about having the power to provide a cure as well as the power to withhold it how about broadcasting specific ideas while censoring others,,,,,,neutral,non-toxic
kudos to dr mike for not losing his cool a vast majority of these people sat there talking at him rather than even remotely trying to have a conversation with him,,neutral,,,,positive,non-toxic
nutjobs come in all shapes and sizes  there were 17 not 20 as billed of them on this panel and id bet real money that no two of them shared the same exact viewpoint  seventeen people all with a different axe to grind so any time one of them gets the chair theyre quickly voted off by the other 16 not because the other 16 agree with each other but because each of the other 16 wants to take the chair so they can grind their preferred axe  this entire affair was an exercise in futility,,,yes,,,positive,mildly-toxic
it took me the whole month to make it though this video and not because it was long lol,,,,,,positive,non-toxic
this series is a clear indicator of how doomed the us is,,,,,,positive,non-toxic
they see what they want to see 216,,,,,,neutral,non-toxic
610 this is where logic fails  so if you took the protection why would you need others to some must really enjoy getting slammed i came here to lose faith in humanity and i am not disappointed  738  1038 so its only 3 minutes each which became a monologue then conveniently he did not have to answer i think ill stop watching here,,,,,,negative,non-toxic
sorry but the red haired woman is really annoying,,,,,yes,strongly_negative,mildly-toxic
the format of these videos needs to change to be more productiveeffective,,,yes,,,positive,mildly-toxic
i love how they fact checked all them and they were wrong thats the point of the video doctor mike was great ,,neutral,,,,positive,non-toxic
i would have liked to see mandate owens on this roster,,,,,,positive,non-toxic
that red haired middle age woman is a nutjob,,,,,,neutral,non-toxic
stop saying vaccines cause autism when there is zero evidence,anti-vaccine,,,yes,,neutral,highly-toxic
10139 is he gonna cry,,,,,,neutral,non-toxic
doctor mike vs 20 nobody  surrounded,,neutral,,,,neutral,non-toxic
really hope you washed your hands after shaking all them dirty hands doc lol,,,,,,positive,non-toxic
this format would benefit from having the claimant explain the claim first this is just rambling,,,yes,,,positive,mildly-toxic
what i learned from this is that dr mike and me and some others who watched this whole video have a tremendous amount of patience ,,neutral,,,,positive,non-toxic
he wouldnt have survived that discourse,,,,,,neutral,non-toxic
theres a lot of evidence but it gets silenced,,,,,,neutral,non-toxic
 不幸屋の娘o6l  link your proof and we will change our minds,,,,,,neutral,non-toxic
 不幸屋の娘o6l  there is also a lot more evidence that it is not true because there is no evidence that it is,,,,,,positive,non-toxic
that woman at the end is just plain mental,,,,,,negative,non-toxic
just a reminder that these people can votelmao this is crazy,,,yes,,yes,strongly_negative,mildly-toxic
choice,,,,,,neutral,non-toxic
i know this video is going to annoy me and yet i clicked on it and im going to watch the whole thing,,,,,,positive,non-toxic
why are they raising flags before even listening,,,yes,,,neutral,mildly-toxic
heaven forbid but when his children get fascinated he will see how it affects them,,,,,,neutral,non-toxic
this dude is the best communicator i have seen in my life its awesome how he swallows his ego and takes the opportunity to educate,,,,,,positive,non-toxic
hahahaa rfk has asked many times for a debate and no one has been able to go through that conversation yes better go with 20 students and pretend your are smart i think it would be better if you speak with any other doctor with different perspectives that can lecture you on the topic ,,,yes,,,positive,mildly-toxic
poor naive dr mike wait until he gets plugged by the system,,neutral,yes,,,strongly_negative,mildly-toxic
what we need is immunology specialists on here not regular doctors theres a big difference in their knowledge,,,,,,neutral,non-toxic
i think we can all agree the rhead girl is the most disrespectful and unfit person to be in a debate,,,yes,,,positive,mildly-toxic
i cant believe i just witnessed a woman telling a health professional that hiv does not cause aids probably a flat farther too,,,,,,positive,non-toxic
these people vote out the person before mike can debut or destroy their arguments,,neutral,yes,,,negative,mildly-toxic
the third dude went in without any intention of having a debate he went in to proselytize talking about the anh like its a medical device that heals and such,,,yes,,,neutral,mildly-toxic
people ask me whether their children need vaccine i ask them whether your son needs helmet when he rides motorbycicle the answer to both questions are same,skeptic,,,,,neutral,mildly-toxic
any notice when doctor mike said vaccines didnt cause austin 6 people red flagged him,skeptic,neutral,yes,,,neutral,mildly-toxic
nursed till he was 7 mmmm,,,,,,neutral,non-toxic
wow these people pigeon logic conspiracy theories poor understanding of the facts basic biology they just want a platform to speak because no one else will listen to their nonsense well done mike youre a better person than i,,neutral,,yes,,positive,highly-toxic
this doesnt make sense the worry that someone doesnt take a vaccine can put others at risk its almost as if you are saying the vaccine will not work or protect those that did take it the only people that should be affected by disease is the others that did not take a vaccine by choice and i am sure these people understand that risk 616,pro-vaccine,,,,,positive,non-toxic
the problem is most doctors are not like him my doctor told us when we were going to get our kids fascinated that there are never side effects to vaccines and they are 100 safe my daughter had a couple different vaccination and about an hour after the mm vaccine she developed a very bizarre reaction with raised lesions all over her body and a high fever the doctor said its just a coincidence but i really lost faith in what they say because ive had multiple doctors lie to me,pro-vaccine,,,,yes,positive,mildly-toxic
is forcing your children not to get fascinated a choice too,,,,,,neutral,non-toxic
its important to look at the full picture based on evidence not fear or hypothetical vaccines are among the most rigorously tested and continuously monitored medical tools we have while no medical intervention is 100 riskfree serious adverse reactions to vaccines are extremely rare  even dr mike has acknowledged this multiple times  hes been very clear that vaccines do carry some risks just like any medication but he also explains that the benefits far outweigh those risks when you look at the data vaccines prevent serious illness hospitalization and even death  not just for the individual but for the community  wishing harm on someone children to prove a point isnt helpful or fair the real goal should be making informed decisions based on scientific evidence and compassion  not fear or blame,pro-vaccine,neutral,,,,positive,non-toxic
im sure he wont vaccine them he knows perfectly that its harmful he only promotes vaccines to others because he gets paid for it,skeptic,,,,,positive,mildly-toxic
absolutely true they wouldnt dare put mike dr up against some real scientists who dont work for corporations,,neutral,,,,positive,non-toxic
watch the last interview of doctor mike with dr peter hotel who refused a debate with rfk and you get an idea,,neutral,yes,,,neutral,mildly-toxic
kerry mulls nobel prize winner and inventor of the  rt per test says you are wrong maybe you need to do some proper research before you sport the corporate line,,,,,,negative,non-toxic
"yes vary mulls invented per and won the nobel prize but his views on hiv and aids were highly controversial and not supported by the scientific community despite his achievements mulls denied the link between hiv and aids a position that has been thoroughly discredited and widely criticized by experts and researchers worldwide the overwhelming scientific consensus backed by decades of evidence is that hiv does cause aids citing mulls to refute this is misleading and ignores the massive body of research that proves otherwise  its like if a brilliant car engineer who invented a revolutionary engine later claimed that seat belts dont save lives just because theyre an expert in one area doesnt make their opinion correct in another especially when decades of safety data say otherwise in the same way muslims invention of per doesnt validate his personal beliefs about hiv which contradict extensive scientific evidence",,,,,,positive,non-toxic
at this point it would be a blessing for her to be a flat farther instead of antivaccine at least she wouldnt risk other peoples lives while blabbering about the earths shape,skeptic,,,,,negative,mildly-toxic
helmets dont cause autism and deaths,,,,yes,,neutral,highly-toxic
 不幸屋の娘o6l  vaccines dont either you ignorant fool,skeptic,,,,,neutral,mildly-toxic
a vaccine isnt a perfect protection and it will never be it just stimulates your body to defend better defences fall if exposed too much if you have a fireproof jacket you still wont throw it on a building catching fire and after the fire goes out expect it to be intact,skeptic,,,,,positive,mildly-toxic
maybe he meant its 100 always better and safer to vaccine your kid than not to,pro-vaccine,,,,,positive,non-toxic
mike got the patience of a saltwater crocodile,,neutral,,,,neutral,non-toxic
claiming ignorance when cornered on something he cannot answer  spin reasonably i can respect his open handedness but surprise surprise avoidance in a convoy,,,,,,positive,non-toxic
i am amazed that our education system has failed us so horribly its sad there are so many ill formed and ignorant people in our society i was a mortician i had to transfer paper records to the computer at a funeral home in rural kansas if you look at deaths before vaccines its obvious vaccines save lives if you dont think vaccines work the proof they do is written in stone just take a walk through an older cemetery especially baby land for those that dont know many cemeteries have a special place set aside for little ones whose families have no plots and can not afford one its referred to in the profession as baby land,pro-vaccine,,yes,,yes,negative,mildly-toxic
the vast majority of these people are religious conservatives  are anti science and are prone to conspiracy theories,,,,yes,,neutral,highly-toxic
i see that brown guy with the slick hair went to the ben shaping school of debate,,,yes,,,negative,mildly-toxic
this is actually a show about the inability of people to listen and learn,,,,,,neutral,non-toxic
one thing i love is seeing people say false claims and then being factchecked by the san factcheck pop up,,,,,,positive,non-toxic
love the uneducated dt  the future of our country,,,,,,positive,non-toxic
this doc would be a great politiciandiplomat but should have spit out the truth with no filter,,,,,,positive,non-toxic
the thing that stood out to me most in this video is how the antivaxxers let each other go on their rants to the doctor but as soon as he starts responding they start raising their flags most of them had no intention of debating here they just let their side gamble on and then raise their flags cutting off dr mike before he even gets a chance to respond properly weak,skeptic,neutral,yes,,,negative,mildly-toxic
the irony is that all of these antivaxxers are likely fascinated,skeptic,,,,,neutral,mildly-toxic
theyre not even arguing anything about vaccines but just rather giving off topic speeches about health or some random anecdotal,skeptic,,,,,strongly_negative,mildly-toxic
something is wrong with the american education system most americans are unable to differentiate facts from opinions thats scary,,,yes,,,negative,mildly-toxic
emotional intelligence ,,,,,,neutral,non-toxic
im sorry but i just dont feel you need a vaccine for something classed as low risk with fatalities,skeptic,,,,yes,negative,mildly-toxic
the flags are a terrible debate and discussion format,,,yes,,,strongly_negative,mildly-toxic
it must have been so fringe for dr mike,,neutral,,,,neutral,non-toxic
this is hilarious its just a parade of conspiracy theorists going since we know that ____ is true and we know beyond a shadow of a doubt that its not true how are you going to make me feel better about what i imagine you did,,,,yes,yes,positive,highly-toxic
dude at 2940 is same dude who thinks gays should just be straight  very ignorant misinformed religious fanatic,,,,,,positive,non-toxic
these people have the privilege to question vaccines because of how well they work,pro-vaccine,,,,,neutral,non-toxic
there was only one dude who wasnt one of those and was pretty respectable to the doctor,,,,,,positive,non-toxic
the most based people,,,,,,positive,non-toxic
we have a highly profitable product vaccines because the safety testing isnt as rigorous as a pharmaceutical drug the gold standard is double blind placebo based long term study  that isnt the case with vaccines because their classified in a different way as a public health measure    they havent been tested in combination with other vaccines yet docs give 69 doses per visit if a pharmaceutical drug was tested like this it wouldnt be in the market but because theyre vaccines  the safety tests are less rigorous our children are being experimented on,pro-vaccine,,,,,negative,non-toxic
i actually support these antivaxxers i appreciate the role theyre playing in natural selection,skeptic,,,,,positive,mildly-toxic
the system of voting off in this video is very flawed people are just voting others off because they disagree with dr mike,,neutral,yes,,,strongly_negative,mildly-toxic
i dont like what the doctors answer are in my thought bubble  skip  he isnt hands down agreeing with what im saying  skip i dont believe what the doctor is saying  skip   the antivaxxers,skeptic,,,,,negative,mildly-toxic
but when i win a 20v1,,,,,,positive,non-toxic
how just they cant understand that if some things have pros then it also have some cons making up a whole perspective on cons without batting an eye to the pros is hilarious,,,,,,positive,non-toxic
antivaccers are more impatient than atheists,,,,,,positive,non-toxic
i like the fact that the minute dr mike starts to speak 8 flags are up,,neutral,yes,,,neutral,mildly-toxic
brother some of them like paranoid alien flat farther enjoyed everything everyone everywhere out to get them lol,,,,,,positive,non-toxic
im not fascinated and ive never had this disease thats because everyone around you is and so they cant get it to give it to you,,,,,,neutral,non-toxic
matrix they brought a bunch of people who are not well spoken and made the doctor to lecture them this was so dishonest there are a bunch of very well spoken and intelligent antivaxxers who could have a productive conversation with this doctor  most likely we will have another pandemic soon and the matrix is hungry to profit on vaccines while helping with population reduction that is what loyalists want more than anything and we see the amount of bots at the comment section validation this sorry not this time daddy,skeptic,,,,yes,positive,mildly-toxic
20 people with anecdotal evidence vs a guy who knows all the mantra he was indoctrinated with through his pharma funded education lets get some experts on both sides to debate the topic,,,yes,,,neutral,mildly-toxic
20000 out of 21 million is about 9 percent of child deaths after vaccination,anti-vaccine,,,,,neutral,highly-toxic
all these people here are moons except the doctor,,,,,,neutral,non-toxic
did people witness differences in a new generation and just decide to universally blame vaccines,skeptic,,,,,positive,mildly-toxic
some vaccines are necessary and we take them for granted but if we are being honest a lot of the vaccines are for profit and are not for necessary,skeptic,,,,,positive,mildly-toxic
i think the question shouldnt be anthrax its the trust in healthcare system to not be profit based,,,yes,,,neutral,mildly-toxic
best part about antivaxxers is that they dont even like listening to people that agree with them on the issue because its always some insane fringe issue the person brings up,skeptic,,,,yes,neutral,mildly-toxic
everybody voting when they dont like what the doctor said  none of these people wanted a real debate they just wanted to have fun yelling at a doctor,,,yes,,,positive,mildly-toxic
love you dad,,,,,,positive,non-toxic
vaccines are tested way more than the average pharmaceutical drug which he outlined in the video but because you crowd dont actually try to learn things and just spec the same thoroughly debunked script im not surprised,skeptic,,,,,positive,mildly-toxic
domonocdoctor total garbage the 76 shots that children in this country receive  none of them have been safety tested in prelicensing studies against a placebo which means we dont understand the risk profile for those products,,,,,,neutral,non-toxic
with is hilarious since most of them are believers,,,,,,positive,non-toxic
its important to focus on the facts rather than assumptions about motives or who was chosen for the conversation the video showed a doctor calmly addressing common misinformation  and the goal was to clarify science not stage a lecture  the idea that theres some global conspiracy using pandemic to profit or control populations is a serious claim but doesnt stand up to evidence vaccines have saved millions of lives worldwide and are developed and distributed by countless scientists and health professionals working independently across many countries  as for the comment section online spaces can attract all kinds of opinions  including bots and trolls  but that doesnt change the overwhelming scientific consensus or the refworld benefits of vaccination  if there are wellspoken critics with valid points open dialogue is always welcome but the science behind vaccines isnt a matter of opinion or debate  its based on rigorous research and data its important to separate genuine discussion from misinformation and conspiracy theories,pro-vaccine,,yes,yes,,positive,highly-toxic
i get the frustration with feeling like education can be influenced by funding but the truth is that scientific knowledge isnt just mantra learned blindlyits built through rigorous research peer review and reproducible evidence over decades doctors and scientists are trained to question test and update what they know based on data not just repeat what they were taught  on the other hand anecdotal evidence from 20 people while personally meaningful doesnt hold the same weight as largescale studies involving thousands or millions of people personal stories can be powerful but they cant replace objective scientific methods that help us understand how vaccines work and their safety  regarding experts debating both sidesscience thrives on open discussion but its important the experts on both sides are qualified and base their arguments on credible evidence too often called experts opposing vaccines rely on misinformation or discredited claims which doesnt make for a fair or productive debate  the best approach is to listen to qualified professionals who base their conclusions on the full body of evidence rather than isolated anecdotes or conspiracy theories,pro-vaccine,,yes,yes,yes,positive,highly-toxic
 bignoseenergy turn the ai off and think for yourself,,,,,,neutral,non-toxic
2000021000000000095 last time i checked 009 percent is not 9 percent,,,,,,neutral,non-toxic
are you slow,,,,,,strongly_negative,non-toxic
009 in reality,,,,,,neutral,non-toxic
your high school mathematics teacher just had an aneurysm because of this comment,,,,,,positive,non-toxic
its true that vaccines have become a routine part of healthcare and sometimes it feels like theyre just taken for granted but the reality is that most vaccines we use today have been developed because they prevent serious sometimes deadly diseases the goal has always been to protect public health not just profit  while pharmaceutical companies do make money from vaccines they do from most medicationsthat doesnt mean the vaccines themselves arent necessary or effective vaccines undergo rigorous testing for safety and efficacy before theyre approved and public health decisions about which vaccines to recommend are based on extensive scientific evidence not just profit motives  its important to separate legitimate concerns about industry practices from the overwhelming evidence showing that vaccines save millions of lives every year profit doesnt negate necessity instead transparency and regulation should be the focus to ensure vaccines remain safe effective and accessible,pro-vaccine,,,,yes,positive,mildly-toxic
i respect religious beliefs but that green dress lady had della eyes,,,,,,negative,non-toxic
3500,,,,,,neutral,non-toxic
that dude with the reads talked about everything other than what was required lol,,,,,,positive,non-toxic
im gonna be so respectful when i say this since its youtube but the woman with the jean jacket has noon medical knowledge whatsoever proven tests to show that autism isnt caused by vaccines and she just sits here and says its not true then to say hiv doesnt cause aids omgggg,anti-vaccine,,,yes,,positive,highly-toxic
how could doctor mike be so wrong about rfk jr hopefully he sees the light,,neutral,,,,negative,non-toxic
theres nothing behind the eyes of the first lady full blown nuts,,,,,,positive,non-toxic
telling a doctor that hiv does not cause aids is nonsense first of all and second of all being pedantic towards a doctor by telling them nothing that you say will change my mind because i have studied is crazy disrespectful,,,,,yes,negative,mildly-toxic
i think its an interesting topic but the only thing that i kinda disliked about the debate is that the doctor barely has time to express his opinion just a few seconds before he has to be interrupted because of the people raising the flags while the others can tell their opinion with no problem i suggest that you should at least let the guest briefly finish telling its opinion before changing to other people,,,yes,,,negative,mildly-toxic
i dont understand how someone can say hiv doesnt cause aids  what articles is this women reading,,,,yes,,neutral,highly-toxic
1748 everybody shaking their heads yet you know they dont have a single piece of data or logic that disprove makes claim,,,,,,negative,non-toxic
why did this play exactly the way i expected dr mike is so patient and respectful they are so into their mob mentality they cant stand listening to sound and logical arguments it takes balls to sit in front of an actual doctor and tell him to his face that he is wrong because they did their own research  pd props to the bernie guy he was the only one willing to listen,,positive,,,,positive,non-toxic
what a respectable doctor,,,,,,positive,non-toxic
hey never watched something like this before but what does the raising of the red flags mean hopefully they explain it at some point or i can figure it out with context but i am 3 min in and just confused,,,yes,,,negative,mildly-toxic
11357 undercover cher,,,,,,neutral,non-toxic
hes looking plump lately,,,,,,negative,non-toxic
every kid in the 60s and 70s had chicken pox mothers would have chicken pox parties where they would purposefully expose their kids to other kids that had it just so everyone could get it out of the way  vaccines came along and now its rare in kids just like jumps measles shooting cough etc,skeptic,,,,,negative,mildly-toxic
what do we think is the average iq of the twenty,,,,,,negative,non-toxic
a quality of a highly intelligent person is listening to number people telling them stuff they know arent true amd smiling and listening ,,,,,,positive,non-toxic
743 guy was based actually,,,,,,neutral,non-toxic
certified dr vs 20 online polemic,,,,,,neutral,non-toxic
yeah he was respectful but drifted hard off the topic,,,,,,positive,non-toxic
"doctor mike isnt wrong about rfk jr  hes aligning with the overwhelming scientific and medical consensus rfk jr has promoted a number of discredited and misleading claims about vaccines and public health many of which have been thoroughly debunked by experts across multiple disciplines while hes entitled to his opinions those opinions have serious consequences when they contradict solid evidence and influence public trust in health measures that save lives  doctor mike as a licensed physician has a responsibility to rely on peerreviewer evidence established science and public health data  not conspiracy theories or anecdotal claims if anything hes doing exactly what we should want from a health professional critically evaluating the facts and speaking out when misinformation puts people at risk  hoping he sees the light assumes that rfk rs position is the truth  but in reality its rfk jr who has repeatedly ignored the light of scientific evidence",skeptic,neutral,yes,yes,,positive,highly-toxic
light,,,,,,positive,non-toxic
